frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
428,428000,43488,277182.82394044695,11234902.904863406
429,429000,43480,277009.50030832726,11232074.63628457
430,430000,43514,277170.3347076388,11241486.743191257
431,431000,43578,277560.0586689829,11260032.76731273
432,432000,43640,277939.82137537963,11276956.013372207
433,433000,43658,277961.7068484307,11281499.7892408
434,434000,43696,278131.9376981603,11290030.960240332
435,435000,43736,278398.21684662864,11301807.68499388
436,436000,43716,278318.33093396673,11294760.196194656
437,437000,43730,278389.2977184785,11298376.670724653
438,438000,43770,278658.6395988178,11306583.285898212
439,439000,43798,278818.1471046209,11314465.345814694
440,440000,43828,279035.5585381069,11322950.151594361
441,441000,43854,279142.3470446332,11327957.578458041
442,442000,43894,279400.8524037407,11339224.287774391
443,443000,43966,279641.6764844137,11359068.532947939
444,444000,43960,279648.53429422295,11357492.121233989
445,445000,44008,279955.8885052943,11371077.08339815
446,446000,44020,280116.4471135892,11372838.955617161
447,447000,44008,279985.0953045544,11369129.75092466
448,448000,43980,279812.0471690446,11359856.73929472
449,449000,44036,280143.09662498435,11375203.573867736
450,450000,44076,280445.85651470505,11385450.251352508
451,451000,44160,280950.6727339932,11407844.575010836
452,452000,44202,281076.5731077014,11419389.474832177
453,453000,44202,281045.10108419025,11418601.268283293
454,454000,44304,281563.070930458,11445446.63800128
455,455000,44318,281542.43296544824,11450083.143680803
456,456000,44374,281902.2097296811,11465012.692800904
457,457000,44406,282073.67808762577,11473126.578243991
458,458000,44428,282127.5791297856,11480081.337196458
459,459000,44452,282321.5807533888,11485598.779448062
460,460000,44474,282491.6007902217,11491904.426781558
461,461000,44462,282340.26133703033,11488705.238539271
462,462000,44442,282200.4501241474,11481935.939543702
463,463000,44520,282625.3842600005,11503866.612638049
464,464000,44520,282733.3129784701,11503866.612513032
465,465000,44558,282930.32913312834,11513927.830601154
466,466000,44594,283057.21757664456,11523525.397334795
467,467000,44606,283111.6934998433,11527373.69730533
468,468000,44622,283136.65026388376,11529460.124642843
469,469000,44670,283467.13479838613,11542720.531540295
470,470000,44682,283303.5487216383,11545502.434954433
471,471000,44660,283216.71088228695,11538964.961665154
472,472000,44730,283659.59545164334,11556398.224152809
473,473000,44786,283908.4589189651,11573136.010560451
474,474000,44820,284146.2677924523,11582687.212524282
475,475000,44844,284274.3583628592,11589363.781072792
476,476000,44852,284351.6372892248,11591542.939076135
477,477000,44918,284697.52470495057,11608837.105960364
478,478000,44944,284816.9691969446,11615977.325439665
479,479000,45018,285254.27475455217,11634523.348765282
480,480000,45066,285365.0015768992,11649684.723160852
481,481000,45160,285880.53927447414,11675278.235784205
482,482000,45206,286141.5315642462,11688445.912427496
483,483000,45188,285987.9341418719,11680285.66191245
484,484000,45224,286267.67931160395,11690254.149946151
485,485000,45256,286436.6291201356,11698738.955335742
486,486000,45236,286338.75847971626,11692201.482598806
487,487000,45262,286410.55826130416,11699434.431429353
488,488000,45246,286383.3617323433,11694658.83003883
489,489000,45270,286451.97135898675,11701335.398724593
490,490000,45322,286751.0294047691,11715105.821045198
491,491000,45336,286764.54792084935,11718536.835618583
492,492000,45374,287019.9105908851,11727207.101417672
493,493000,45428,287307.22671235056,11741812.095163925
494,494000,45464,287504.6341449168,11751734.217842218
495,495000,45504,287753.4557178718,11761980.895521907
496,496000,45558,288080.31358949293,11776817.714742374
497,497000,45532,287907.9819341647,11769677.49541901
498,498000,45566,288073.7090518033,11777745.015505336
499,499000,45618,288176.6260052795,11792674.564899193
500,500000,45678,288554.9788700502,11807789.57393343
501,501000,45766,288958.6716902938,11831111.199089546
502,502000,45776,289082.6629437693,11833104.896810248
503,503000,45808,289228.6662247133,11841033.321970405
504,504000,45832,289390.3847205859,11848729.92149283
505,505000,45842,289369.50886108493,11849981.777709022
506,506000,45888,289695.5954891037,11860738.47145103
507,507000,45918,289725.9318109134,11870428.769498289
508,508000,45966,290026.2274562088,11881046.367524678
509,509000,46024,290343.62380148814,11896115.0115061
510,510000,46030,290452.74340703577,11898340.534257177
511,511000,46044,290422.1413906754,11901586.088404717
512,512000,46096,290755.19429111836,11915263.78102698
513,513000,46122,290901.2284017381,11922125.809743995
514,514000,46148,291044.37989313714,11929312.393968334
515,515000,46174,291037.4630744699,11936313.517986378
516,516000,46198,291201.65152174886,11941877.325072251
517,517000,46166,291005.1728187546,11933067.963993717
518,518000,46196,291150.9048414099,11940671.83374789
519,519000,46160,290996.6322463428,11929683.314190963
520,520000,46170,291066.267386627,11931908.83736093
521,521000,46180,291115.65894141165,11934366.185702315
522,522000,46178,291038.19812783174,11934227.090205934
523,523000,46144,290905.6705636881,11925464.094449239
524,524000,46218,291389.77076873765,11944102.847758194
525,525000,46198,291217.7450348457,11939605.43708839
526,526000,46222,291374.8532061994,11946235.64041848
527,527000,46290,291861.7418157529,11964457.108477142
528,528000,46276,291743.9866222863,11959403.317304445
529,529000,46282,291836.368210553,11959635.142757239
530,530000,46294,291882.69781677757,11962973.426987983
531,531000,46358,292177.9571513535,11979247.562029265
532,532000,46402,292338.86751893605,11991395.207638826
533,533000,46422,292505.45827831945,11997747.220496785
534,534000,46434,292607.12638895796,12001502.790335685
535,535000,46426,292617.0028306731,11998118.141466772
536,536000,46390,292258.9236085202,11988381.478750404
537,537000,46464,292746.3888997208,12007901.168883625
538,538000,46472,292739.69629023055,12011656.738535775
539,539000,46484,292808.2270029139,12013372.245601494
540,540000,46516,292947.53985513735,12022088.876966834
541,541000,46576,293266.0995170913,12038641.202988591
542,542000,46636,293651.8988553335,12055100.799266282
543,543000,46654,293561.4874335212,12060154.590540789
544,544000,46626,293489.8028959056,12051484.324289618
545,545000,46674,293740.09440329985,12064652.001116296
546,546000,46678,293665.33606058976,12066135.683252297
547,547000,46684,293672.6180041092,12066460.238350932
548,548000,46620,293437.8340210004,12047450.564171797
549,549000,46630,293492.9648503582,12050557.023049863
550,550000,46630,293584.5612301209,12050788.848277189
551,551000,46696,293894.85604879557,12069242.14175769
552,552000,46692,293818.74804749916,12068036.650486331
553,553000,46696,293823.1691217975,12069473.967150193
554,554000,46722,293968.9004072922,12075315.964477759
555,555000,46776,294275.68400422315,12089364.57719011
556,556000,46818,294572.99506177317,12101512.222815422
557,557000,46844,294602.6683110487,12108930.632043578
558,558000,46852,294656.06191711157,12110646.139221689
559,559000,46836,294586.6826520207,12105685.078115076
560,560000,46852,294699.90473849856,12110321.584246809
561,561000,46962,295356.6678559914,12139995.221361686
562,562000,46978,295477.4333492185,12144168.076978218
563,563000,46990,295559.8277610961,12146208.139894588
564,564000,46976,295372.4245884988,12142128.014276208
565,565000,47058,295814.3783353994,12163780.496840138
566,566000,47076,295940.3823062402,12168648.828202482
567,567000,47112,296147.60591946455,12178988.236325031
568,568000,47072,295931.7661276606,12167721.526989039
569,569000,47146,296392.7900548039,12187473.042307874
570,570000,47118,296269.8401080493,12179220.06170353
571,571000,47158,296390.6102912424,12189003.089731812
572,572000,47286,297227.3974046925,12222061.3761034
573,573000,47260,297163.5053580712,12214874.791635204
